runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;10;336.8;551;551;439.75;292.5;100;100;1366.7;16060.36;15732.12;1703.5;13.01;8;0.44
NA;2;26;376.12;562;557.45;475.75;381.5;100;100;741.58;7600.89;7472.74;1117.69;7.24;16;0.38
NA;3;33;381.18;586;581.8;432;385;100;100;1040.97;11645.82;11430.46;1422.15;10;25;0.43
NA;4;43;394.47;597;587.6;512;425;100;100;818.81;8903.06;8776.52;1213.28;8.14;27;0.39
NA;5;42;413.86;600;589.9;514;443;97.62;100;780.31;8293.12;7932.97;1194.17;7.56;43;0.51
NA;6;49;385.86;578;561;483.5;436;100;100;878.71;9502.79;8910.22;1264.57;8.24;47;0.49
NA;7;59;402.08;696;578;501;436;98.31;100;836.98;9065.8;8642.03;1239.07;8.06;41;0.41
NA;8;64;386.52;598;579;506.75;416;100;100;857.08;9042.22;8250.89;1243.59;7.78;40;0.38
NA;9;62;377.58;604;584.5;489.25;391;98.39;100;869.73;9328.26;8710.33;1247.31;8.11;46;0.43
NA;10;64;363.05;604;592;491.5;347;98.44;100;806.19;8381.36;8026;1169.23;7.63;52;0.45
NA;11;65;375.22;628;602.2;483.5;374;95.38;100;710.62;7187.24;6950.59;1085.83;6.89;52;0.44
NA;12;76;399.26;630;605.05;507.5;421.5;94.74;100;695.89;7111.97;6835.26;1095.16;6.81;47;0.38
NA;13;69;395.9;701;593.5;487;394;97.1;100;696.96;7164.52;6725.32;1092.86;6.73;53;0.43
NA;14;65;396.48;756;596.8;499;395;96.92;100;624.65;6077.09;5920.68;1021.12;6.16;61;0.48
NA;15;60;378.17;686;597.75;502.25;385;96.67;100;861.82;8982.82;8316.49;1239.98;7.84;60;0.5
NA;16;56;429.77;719;588.65;545.25;469;98.21;100;816.12;8206.05;7928.08;1245.89;7.56;68;0.55
NA;17;57;402.91;882;723.2;532.5;394;92.98;100;955.44;9499.19;8429.5;1358.35;7.91;52;0.48
NA;18;57;407.04;831;606.1;506;440;96.49;100;809.42;8071.2;7289.66;1216.46;7.12;44;0.44
NA;19;68;391.63;671;593;521.25;408;97.06;100;885.24;8591.49;7241.84;1276.87;7.09;41;0.38
NA;20;58;396.29;720;594.7;500.5;404.5;96.55;100;780.4;7645.43;6966.9;1176.69;6.89;45;0.44
