departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
28224.0;43627002261-1;drtD0;318388491_0_r;333477.85;3913249.55;205306348_3;332491.53;3910858.85;472.0;29162.0;466.0;4610.04;4610.04;-5.23;28824;30857.04
35719.0;42147014941-2;drtD2;113004993_0_r;345412.62;3919002.4;195745632_2;347217.53;3918620.65;507.0;36514.0;288.0;2285.65;2285.65;-3.6;36319;37775.49
38727.0;42173004862-2;drtD0;501349034_0;331286.11;3912942.78;33075851_0_r;332077.35;3912131.19;376.0;39542.0;439.0;1930.32;1930.32;-3.35;39327;40336.11
54665.0;42113000032-3;drtD2;576229020_0;345267.42;3918419.27;106474341_1;343643.51;3917592.18;358.0;55430.0;407.0;2327.6;2327.6;-3.63;55265;56716.41
56427.0;42141000883-3;drtD1;114916323_1;346826.44;3918630.06;662377531_0_r;346987.55;3917413.24;444.0;57061.0;190.0;1365.38;1365.38;-2.96;57027;58177.77
57659.0;43624001943-2;drtD0;107415981_0;331626.73;3910270.1;205296958_1;332189.32;3909729.18;327.0;58168.0;182.0;1205.4;1291.69;-2.9;58259;59163.35
57703.0;42173002784-2;drtD0;107415981_1;331632.62;3910051.77;136560095_0;324838.39;3912888.59;380.0;59045.0;962.0;11484.68;10072.91;-9.05;58303;61155.5
64865.0;42113011211-2;drtD1;714429611_0;345580.81;3915929.12;197515789_5;344203.98;3916808.98;487.0;65682.0;330.0;2099.35;2099.35;-3.47;65465;66914.26
75066.0;42141005141-3;drtD1;200734202_0_r;344555.59;3915125.37;33074085_12;346587.85;3917870.7;353.0;76024.0;605.0;4546.37;4546.37;-5.18;75666;78059.33
